NAME	TITLE	SCORE	
Zfp51		4.537225	
Cfl2		4.534123	
Mt3		4.517301	
Gm16740		4.515427	
Mir103-2		4.508042	
H3f3b		4.5072	
Nphp1		4.5068035	
Emc3		4.502638	
Gm3086		4.4760528	
Ddx25		4.474523	
Akap7		4.458933	
Ube2d2a		4.458356	
Cib2		4.4562893	
Fem1al		4.4536705	
Rwdd1		4.4531217	
Commd8		4.452152	
C330018D20Rik		4.449541	
Sfrp2		4.4464583	
Tmed5		4.4412694	
6530403H02Rik		4.4403877	
Aldh6a1		4.4365735	
Tmem19		4.4346166	
Omg		4.430174	
Map1lc3b		4.4299955	
Crybb3		4.42642	
Nek7		4.42532	
Rpl10		4.422652	
Rps6		4.422382	
Matn2		4.4163995	
Clns1a		4.412582	
Kdm1b		4.3918743	
F830016B08Rik		4.391718	
Trappc2		4.384536	
Spcs2		4.3779173	
Tprkb		4.370526	
Zfp639		4.3580966	
Hnmt		4.3522863	
Atg101		4.347698	
Tmed10		4.346487	
Gatd1		4.337706	
Zfp943		4.3371997	
Vsnl1		4.3343024	
Golt1b		4.325665	
Gabra5		4.324377	
Rin3		4.318081	
Gm10409		4.312681	
Acp1		4.311704	
Rpp30		4.3047285	
Pole		4.291246	
Phtf1os		4.2909865	
Emc2		4.2847733	
Prr11		4.282271	
5031426D15Rik		4.2765	
Smndc1		4.2739105	
Serinc1		4.2677436	
Ddx50		4.2639837	
Bfar		4.258651	
Schip1		4.256314	
Tma16		4.256113	
Olfml2b		4.2513447	
Ostc		4.2439337	
Iqschfp		4.230721	
Prkg2		4.2227755	
A330093E20Rik		4.221328	
Scel		4.2192993	
Srsf10		4.2098293	
Cyp2j6		4.2086315	
Gm11437		4.207971	
Dyrk3		4.204961	
Vma21		4.2009816	
Tmed2		4.1902523	
Sypl2		4.1867614	
Capza2		4.183364	
Amz2		4.1824517	
B3gat2		4.1749916	
Twf1		4.17425	
Mpzl3		4.1672554	
Rnaset2a		4.164779	
Banp		4.160302	
Adcyap1		4.1577907	
Gabrr2		4.1545863	
Rbbp4		4.1430726	
Mtfp1		4.1393566	
Sccpdh		4.1340733	
Acsl3		4.1330748	
Cr1l		4.1328077	
Saraf		4.1323967	
Prss30		4.126032	
Asah1		4.1257973	
Fuca2		4.121931	
Fam111a		4.12191	
Ddost		4.1194596	
Atp5h		4.1082425	
1600020E01Rik		4.099745	
Ccni		4.097046	
Arl8b		4.092518	
Ceacam3		4.091107	
Rap1a		4.090706	
Slc10a7		4.0904512	
Gbgt1		4.0900087	
