,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ctla4,1.18980781,0.605445906,0.99983231,0.60554745,0.544815307,1
Icos,0.930456497,-0.903265466,0.896504175,-1.00754184,0.313674462,1
9530026F06Rik,1.121547416,-1.391543968,0.942423106,-1.47655969,0.139793704,1
Pard3b,71.6140464,0.167404243,0.135135049,1.238792192,0.215422466,1
Nrp2,972.9736583,0.151955981,0.092968079,1.634496298,0.102154683,1
4930487H11Rik,3.621997406,1.132113758,0.588805238,1.922730447,0.054513911,1
Ino80d,476.6440204,-0.044086027,0.079503224,-0.554518725,0.579223894,1
Gm11602,67.63065834,-0.063283914,0.15633798,-0.404789126,0.685632522,1
Gm20342,45.0067184,0.073525015,0.250038609,0.29405465,0.768716144,1
Ndufs1,2133.617615,-0.045297795,0.035799793,-1.265308833,0.205760641,1
Eef1b2,3868.458653,0.003375948,0.070060731,0.048186016,0.961567995,1
Snora41,2.85995031,0.301675588,0.634790368,0.475236556,0.634618374,1
Gpr1,17.38808945,0.088797602,0.221538173,0.40082303,0.688550422,1
Zdbf2,607.1261056,0.059571973,0.094695057,0.629092736,0.529288346,1
Adam23,3015.192124,0.00509878,0.064075273,0.07957484,0.936575407,1
Dytn,2.413749502,-0.593184898,0.697238293,-0.850763511,0.394900735,1
Mdh1b,34.5767692,0.050990517,0.183351976,0.278101814,0.780934203,1
Fastkd2,231.2301079,0.048513646,0.066670309,0.727664933,0.466818721,1
4933402D24Rik,9.141075457,0.519465488,0.310526125,1.672855986,0.09435565,1
Gm13749,1.147560952,0.708050112,1.054402743,0.671517707,0.501890783,1
Klf7,63.0790927,-0.005849511,0.273178356,-0.02141279,0.982916371,1
Creb1,640.7002787,-0.065407395,0.068926806,-0.94893988,0.34265119,1
Mettl21a,246.9263334,0.002803944,0.079122163,0.035438167,0.971730351,1
2810408I11Rik,9.339457409,0.462255199,0.386444849,1.196173789,0.231628747,1
Ccnyl1,450.483632,-0.026857621,0.0923013,-0.290977706,0.77106837,1
Fzd5,139.7755537,0.185624157,0.159696074,1.162358922,0.245089702,1
Plekhm3,743.8528521,0.037316665,0.084442279,0.441919211,0.658547668,1
Akr1cl,0.139494466,-0.880392587,3.204587599,-0.274728826,0.783524583,1
Gm8550,0.054984236,-0.30331644,4.181290922,-0.072541338,0.942171109,1
Cryge,0.025207176,0,4.181290922,0,1,1
Crygc,0.090481573,0.850829503,4.181290922,0.203484885,0.838756058,1
Cryga,7.205950936,-0.507199544,0.413140682,-1.227667878,0.219571669,1
