"","genes","logFC","logCPM","F","PValue","FDR"
"11617","ENSMUSG00000021929",-0.208524505462238,5.17321908543767,5.37214102765102,0.0260300603488523,0.474085943934373
"11618","ENSMUSG00000021930",-0.0490957484065025,5.30069316146745,0.470184932293291,0.497128255836404,0.841430632998277
"11619","ENSMUSG00000035235",0.0466094070419979,2.93163270808187,0.110838868962386,0.741049084142252,0.932525214297367
"11620","ENSMUSG00000097589",0.434738031454801,3.21087046752165,5.35419954931593,0.0262643348656196,0.475225653461551
"11621","ENSMUSG00000046168",0.00135430747534465,-0.874610062010626,1.92421227396876e-06,0.998900575263777,0.999486001466728
"11622","ENSMUSG00000098183",0.565696279476504,-0.721145215885619,1.59067768268178,0.215035111821852,0.671783573449866
"11623","ENSMUSG00000098914",0.144320977837836,0.630852755978084,0.252752904893142,0.618089272101356,0.890718513449293
"11624","ENSMUSG00000048281",-0.0112560995541634,3.01988021014051,0.00649406002869024,0.936200844600704,0.984252344868056
"11625","ENSMUSG00000021932",-0.00928662404421259,3.5717216823906,0.00593306473757809,0.939012901052789,0.985026212925236
"11626","ENSMUSG00000100486",0.173357784410007,1.22656240887605,0.402535199512459,0.529642601569135,0.855455655361042
"11627","ENSMUSG00000114488",-0.0761688771356282,1.61433522829657,0.0694299850123077,0.793614021136585,0.947465518952177
"11628","ENSMUSG00000035184",0.00484678083304201,4.26904110540703,0.00227550533279738,0.962207205392922,0.989764552861072
"11629","ENSMUSG00000091155",0.00169038901723503,-0.516770899101901,9.13295997115653e-06,0.99760478636583,0.999486001466728
"11630","ENSMUSG00000035161",-0.113145925454688,3.84165571417157,0.702174328071705,0.407374245710313,0.798915287095154
"11631","ENSMUSG00000014547",-0.093403989661404,3.89486594546483,0.391167972267634,0.535481787297506,0.857326219830751
"11632","ENSMUSG00000054763",-0.16484454446735,-0.818419846788454,0.120757617470998,0.730161143827157,0.92887004357421
"11633","ENSMUSG00000021939",0.0448166508239107,9.1917651706821,0.417100496902107,0.522328113957193,0.852578736413218
"11634","ENSMUSG00000021273",0.0395233146431537,6.57568081540101,0.299654087090381,0.587349415004262,0.878932369905826
"11635","ENSMUSG00000035121",-0.433176600238018,0.83234469850137,1.84519535915969,0.182476031490545,0.646516508270786
"11636","ENSMUSG00000035095",-0.337144035570834,1.49469587009763,1.47785703303072,0.231723529260744,0.684540159344403
"11637","ENSMUSG00000035078",0.181096700649522,5.2396606022012,1.38978568546221,0.245882567275777,0.696321742317213
"11638","ENSMUSG00000087652",0.636189439017532,0.75450975749903,4.08003797758121,0.050594977912879,0.516372622481381
"11639","ENSMUSG00000035067",0.56213364339262,3.153333717701,5.63854880474151,0.0228055886755577,0.472033569627896
"11640","ENSMUSG00000021958",-0.173184429718551,2.46103466661273,0.679353692742838,0.415031881031847,0.80307103808617
"11641","ENSMUSG00000063060",-0.269404355550688,0.789770783685124,1.11783745047187,0.297162019341908,0.735582376006501
"11642","ENSMUSG00000090785",-0.553100568287505,-0.169961519549471,2.07410499927058,0.158131895684405,0.621378358268539
"11643","ENSMUSG00000054733",0.000749551368744965,4.69999104725353,5.39753797763956e-05,0.994177184909068,0.999263147151006
"11644","ENSMUSG00000097545",-0.378900207597809,7.31779370047779,2.65331898311994,0.111724471367868,0.582505010122796
"11645","ENSMUSG00000060012",-0.0300123902989575,5.37514101417383,0.0416585810686379,0.839377895805587,0.960905152805278
"11646","ENSMUSG00000021972",-0.158953014774852,5.42984834779958,2.32918290867474,0.135376629698314,0.601840101339803
"11647","ENSMUSG00000021975",-0.00397298347986017,3.60281429058158,0.000900968178265509,0.976213697888105,0.994205593885624
"11648","ENSMUSG00000021978",0.150219658475201,7.09800350826327,2.43778121786832,0.126861529061675,0.597262102743378
"11649","ENSMUSG00000007989",0.0319133518051914,5.41042201677368,0.099089561384767,0.754673407643651,0.936177803564957
"11650","ENSMUSG00000034532",-0.0863624778538667,3.21332403958294,0.53985651385093,0.467071671270976,0.828177491947034
"11651","ENSMUSG00000034522",0.160310166894221,4.1896924239473,1.24224187326575,0.272146354962179,0.718015964819192
"11652","ENSMUSG00000045731",-0.165023439298563,3.68238737940446,0.512351848848575,0.478565260147254,0.835003320528398
"11653","ENSMUSG00000022031",0.0513506551252642,6.07038048426145,0.564789169229818,0.457037492893006,0.823204609333245
"11654","ENSMUSG00000022032",-0.721587032644537,-0.595225265981416,1.45929385655419,0.234621284943358,0.686102233429302
"11655","ENSMUSG00000022033",-0.0507065968539972,-0.0649813501883355,0.0178934006019397,0.963937280593162,0.989767971136267
"11656","ENSMUSG00000022035",-0.12974006629444,4.58563280066508,2.31046793323902,0.136910072116706,0.602452003319718
"11657","ENSMUSG00000034463",0.191116949728287,4.29615980354784,2.82127287193268,0.101353736275546,0.578981358089762
"11658","ENSMUSG00000022037",0.089340232122239,9.63835467133174,1.07148139176139,0.307253982409059,0.741923411371424
"11659","ENSMUSG00000068165",0.0374210656047198,4.17977298303246,0.0787272256671251,0.780575068545616,0.942918389277844
"11660","ENSMUSG00000022040",0.112040925104224,3.83482898257828,0.716038275278256,0.402825066207609,0.797148051974148
"11661","ENSMUSG00000022041",-0.228119703112342,1.07342511082455,0.968815855196068,0.33129684896925,0.758391786430608
"11662","ENSMUSG00000059456",0.240852351889638,8.72300978812743,5.88199292908402,0.0202351626401128,0.47015672012166
"11663","ENSMUSG00000085984",0.0611983177622584,2.59327139749869,0.0553377714522913,0.815305132054332,0.954526310556687
"11664","ENSMUSG00000022043",-0.0249575014840106,7.02838776311456,0.109728607402219,0.742301154224488,0.932779879244171
"11665","ENSMUSG00000022044",-0.14313033878655,7.63950639941373,2.10727835196895,0.154932248506299,0.61806752700113
"11666","ENSMUSG00000045875",0.341271228431052,1.67689046485081,1.10385637937182,0.300158895000007,0.738260722190032
"11667","ENSMUSG00000022048",0.109574591143222,7.89279251671083,1.41284479328553,0.242072981495985,0.692291446377364
"11668","ENSMUSG00000046204",0.109205540289149,5.06598363744987,1.64205039759241,0.207927725269465,0.665624298986484
"11669","ENSMUSG00000022051",-0.0483342077087867,6.23069205689902,0.375817672381192,0.543558068761612,0.860425926091832
"11670","ENSMUSG00000022052",0.115408812308479,6.58505134617317,2.50238272833673,0.122090118938062,0.594412285713786
"11671","ENSMUSG00000114697",-0.477610338977595,-0.787855714438442,1.24222289178768,0.272149958920787,0.718015964819192
"11672","ENSMUSG00000022053",-0.53222587949166,-0.212047454900788,0.936005444610742,0.339518470904967,0.763022688599947
"11673","ENSMUSG00000034327",0.0594594406575645,3.40268266800812,0.211430463935344,0.648308848778112,0.901384136810648
"11674","ENSMUSG00000015812",-0.0353678620243521,1.00498554176321,0.015673847235538,0.901039124282055,0.976146133042408
"11675","ENSMUSG00000044447",-0.0098289540087271,3.32881554741522,0.00380894981593403,0.951116893601704,0.98800321602341
"11676","ENSMUSG00000022054",0.128399735611689,8.29616706574535,1.38139019069812,0.247288306239287,0.698519437214694
"11677","ENSMUSG00000022055",0.0869404759774533,8.15093744554155,0.820289418341614,0.370890072504512,0.781625744751413
"11678","ENSMUSG00000114833",0.391899695070907,-0.519158227521457,1.05407058079088,0.3111621344864,0.7452988537161
"11679","ENSMUSG00000014813",-0.162834518855893,1.86094094187393,0.63540970637545,0.430406557347231,0.810772946187522
"11680","ENSMUSG00000034248",-0.306044432901701,4.52851832725669,4.66066421673002,0.0373413036191645,0.493206555157824
"11681","ENSMUSG00000104405",-0.435186991743302,-0.145468595035419,0.874581815408339,0.355685711009337,0.774294720191477
"11682","ENSMUSG00000097511",0.020555939969944,0.0476465276178984,0.00234255031803785,0.961654927629681,0.989764552861072
"11683","ENSMUSG00000095463",0.206891253118437,6.97730887195356,1.13195791192581,0.294175220123336,0.733520276822453
"11684","ENSMUSG00000098270",0.140166245327721,4.09290444242456,0.259964897394362,0.613138273278066,0.888099934180762
"11685","ENSMUSG00000093954",0.172906509557699,6.36539922284668,0.693359108846179,0.410306869301084,0.800569657415527
"11686","ENSMUSG00000094526",0.325043103046706,-0.349087494071346,0.487109024392049,0.489533860474155,0.838197457753766
"11687","ENSMUSG00000102611",-0.23327469735458,-0.102232631690065,0.212950668708666,0.647135641339144,0.901384136810648
"11688","ENSMUSG00000098784",-0.138251442325762,-0.015481039638113,0.110906207975079,0.740973369224133,0.932525214297367
"11689","ENSMUSG00000022066",0.190298875498937,7.02785457665358,1.06274425225899,0.309206934277298,0.743158029610927
"11690","ENSMUSG00000099027",0.0764079300813195,4.45599140540574,0.115396550391671,0.735981159597743,0.931300607992379
"11691","ENSMUSG00000098975",0.145718204317964,6.34204141115445,0.534069580480076,0.469451922085142,0.829817278851154
"11692","ENSMUSG00000034205",0.247632229191314,0.583756712843843,0.450091310541048,0.50641144246737,0.846165189196188
"11693","ENSMUSG00000034194",0.147999213679407,4.80260447406592,2.7190448989088,0.107528303237397,0.582385501590354
"11694","ENSMUSG00000034190",0.078748917142095,6.6776390326909,1.26302500837361,0.268236910884782,0.715529389164825
"11695","ENSMUSG00000022074",-0.747080765292123,0.0901483790808077,3.48212528792317,0.0698872763558938,0.537035439792722
"11696","ENSMUSG00000022075",0.216030457268422,7.27963457900979,4.55535148786597,0.0394303371280673,0.495468472558515
"11697","ENSMUSG00000114446",-0.482585020426881,-0.62368307764822,0.950295350660722,0.33590366487619,0.760365572021171
"11698","ENSMUSG00000033730",0.141591123098485,6.76916902597232,1.34339248560491,0.253779071543121,0.703803925522412
"11699","ENSMUSG00000022089",-0.166377959358977,3.45122885709151,1.17620801551856,0.285066976085387,0.727960029352903
"11700","ENSMUSG00000033712",0.133583438019573,6.49331878533179,2.93819919994225,0.094779648840015,0.568402565202629
