"","B2101","B2102","B2103","B2104","B2105","B2111","B2112","B2113","B2115"
"ENSMUSG00000030541",753.465674334329,669.80092737272,528.396933737541,647.677957281123,588.105282939077,742.744462059774,602.108488254376,686.769953256229,665.804803893056
"ENSMUSG00000108494",12.2657202798612,4.64494401784133,37.7426381241101,11.0285720280067,53.4641166308251,6.78305444803447,5.68026875711676,29.2657650535325,15.6292207486633
"ENSMUSG00000030539",330.298324679119,346.512823730963,396.869558456552,320.831186269287,427.712933046601,313.716268221594,302.000955586708,336.556298115623,428.240648513374
"ENSMUSG00000108389",3.50449150853176,1.85797760713653,13.7245956814946,5.01298728545761,0,2.54364541801293,3.78684583807784,0,6.25168829946531
"ENSMUSG00000030538",285.616057945339,290.773495516867,211.587516756375,209.542868532128,266.077231604572,237.406905681206,243.304845096501,265.342936485361,204.221817782534
"ENSMUSG00000050973",70.0898301706353,84.5379811247123,57.1858153395608,84.2181863956879,92.0080146670014,68.678426286349,68.1632250854011,77.0665146409689,86.4816881426035
"ENSMUSG00000045467",22.7791948054565,11.1478656428192,12.5808793747034,22.0571440560135,12.4335154955407,25.4364541801293,9.46711459519459,33.1678670606701,7.2936363493762
"ENSMUSG00000047084",466.973493511857,467.281368194838,343.114892037365,423.096126892622,443.876503190804,450.225238988288,423.180022405198,560.927163526039,428.240648513374
"ENSMUSG00000030534",219.906842160368,227.602256874225,129.239942667407,222.576635474318,133.038615802286,210.274687889069,240.464710717943,238.028222435397,217.767142431375
"ENSMUSG00000038930",168.215592409525,153.283152588764,101.790751304418,185.480529561932,113.144991009421,147.53143424475,178.928465849178,186.325370840823,134.411298438504
"ENSMUSG00000038943",83.2316733276294,82.6800035175757,75.4852762482202,102.264940623335,57.1941712794874,98.3542894964998,124.965912656569,99.5036011820104,93.7753244919797
"ENSMUSG00000030533",977.753130880362,1078.55600094276,952.715683557082,933.418232552207,943.703826111542,886.884369080507,983.633206440718,1088.68645999141,1062.7870109091
"ENSMUSG00000030532",1103.91482518751,1091.56184419271,1218.05786673264,1016.6338214908,1183.67067517548,1043.7425031913,1107.65240763777,1116.00117404137,1038.82220576115
"ENSMUSG00000038886",3176.82155248404,2838.98978370462,4793.31504176198,3597.31967604438,3725.081242464,3172.77371806812,3533.12716692662,2948.0380663925,3260.25544817116
"ENSMUSG00000053158",78.8510589419647,76.1770818925979,53.7546664191871,49.1272753974846,64.6542805768118,57.655962808293,58.6961104902065,73.1644126338312,76.0622076434946
"ENSMUSG00000030530",650.959297709775,571.328114194484,685.086067767938,629.631203053476,670.166485209645,611.322782129106,534.891974628495,540.441127988566,743.950907636372
"ENSMUSG00000108436",2.62836863139882,2.7869664107048,4.57486522716486,2.00519491418304,2.48670309910815,1.69576361200862,0.946711459519459,6.82867851249091,1.04194804991089
"ENSMUSG00000030528",32.4165464539188,28.7986529106163,24.0180424426155,29.0753262556541,14.9202185946489,22.8928087621163,40.7085927593368,36.0944435660234,30.2164934474157
"ENSMUSG00000091989",77.0988131876988,74.3191042854613,40.0300707376925,53.1376652258507,33.57049183796,46.633499330237,68.1632250854011,79.9930911463221,55.2232466452769
"ENSMUSG00000030527",307.519129873662,307.495293981096,348.833473571321,335.87014812566,336.948269929154,312.020504609586,266.025920124968,279.000293510343,310.500518873444
"ENSMUSG00000084821",4.3806143856647,7.43191042854613,9.14973045432972,3.00779237127457,2.48670309910815,6.78305444803447,5.68026875711676,1.95105100356883,0
"ENSMUSG00000030536",216.402350651836,225.744279267089,269.917048402727,264.685728672162,213.856466523301,285.736168623452,257.505516989293,197.056151360452,205.263765832444
