"","B1116","B1117","B1118","B1119","B1120","B1106","B1107","B1108","B1109","B1110"
"Ppp1r3f",1084.17938185979,956.653285714129,1184.11336352784,1087.20624111119,922.346359122735,1132.77590651934,1048.42900371176,941.601417406208,1150.82318739177,1049.71449995731
"4930524L23Rik",21.7488341396147,18.4293977983457,4.38966955895399,22.6501300231497,23.3259353202799,10.1968371290612,11.9978671199409,9.01917066481042,10.5194075629961,7.06538605740498
"Foxp3",5.43720853490368,3.35079959969923,10.974173897385,2.38422421296313,3.88765588671332,5.56191116130611,4.61456427690036,6.3134194653673,1.05194075629961,3.02802259603071
"Ccdc22",396.916223047969,423.038449462027,499.324912331017,444.657815717623,365.439653351052,435.683040968978,457.764776268515,463.585372171256,421.828243276143,414.839095656207
"Cacna1f",4.34976682792295,10.0523987990977,20.8509304050315,4.76844842592625,6.80339780174831,28.7365410000816,10.1520414091808,15.3325901301777,7.36358529409725,10.0934086534357
"Syp",39958.0455230072,36031.1480955658,48218.3252703301,36968.5885340997,42381.2806490052,40687.2341153413,40418.9685013702,40097.4289416142,46860.8048708786,36136.4216610305
"Prickle3",45.6725516931909,59.4766928946613,83.4037216201259,54.8371568981519,37.9046448954549,42.6413189033468,47.0685556243836,36.9785997257227,66.2722676468753,24.2241807682457
"Plp2",60.8967355909213,100.523987990977,131.69008676862,102.521641157414,127.320730289861,115.873149193877,116.287019777889,89.2897895816232,164.102757982739,81.7566100928291
"Magix",15.2241838977303,18.4293977983457,27.4354347434625,29.8028026620391,24.2978492919582,22.2476446452244,14.7666056860811,20.744092529064,24.194637394891,16.1494538454971
"Gpkow",719.886410021248,599.793128346161,570.657042664019,596.056053240781,551.075221941613,583.07368674359,591.587140298626,536.64065455622,628.008631510866,760.033671603708
"Wdr45",869.953365584589,932.35998861631,954.753129072493,956.073909398213,1167.26867998567,982.604305164079,1040.12278801334,989.403021929703,782.643922686908,809.491374005543
"Praf2",2070.48901009132,2126.08234600916,2370.42156183516,2089.77252266218,2615.42049778638,1991.16419574759,2167.92229728779,2097.8590966349,2186.98483234688,1830.94432973323
"Ccdc120",382.779480857219,460.734944958644,404.947016813506,345.712510879653,421.810663708395,439.390981743183,413.464959210272,423.90102124609,394.477783612353,378.502824503838
"Tfe3",1265.78214692558,1094.87376920172,1356.40789371678,1189.7278822686,1292.64558233218,1223.62045548734,1111.18707787761,1223.90145921477,1474.82094033205,1361.60082734847
"Gripap1",3849.54364271181,3294.67370640426,3526.00207322979,3346.25868289375,3269.5186007259,3389.98485281607,3194.20139247043,3331.68164358097,3764.89596679629,3800.16835801854
"Mir1198",9.78697536282663,11.7277985989473,3.29225216921549,11.9211210648156,7.77531177342664,12.0508075161632,3.69165142152029,4.50958533240521,2.10388151259921,4.03736346137428
"Kcnd1",220.75066651709,190.995577182856,178.879034527375,166.895694907419,136.067956034966,187.251009097306,198.426263906715,183.089164495652,213.54397352882,184.709378357873
"Otud5",2329.30013635274,2059.06635401517,2394.5647444094,1831.08419555568,2069.20484570316,2333.22173216791,2309.12796416094,2308.00577312499,2697.17609915219,2254.86749317753
"Pim2",1020.02032114793,1285.03164648465,1344.33630242966,1274.36784182879,1500.63517227134,1117.01715822898,1300.38421323052,1398.8733701121,1225.51098108904,896.294688425089
"Slc35a2",652.465024188442,763.144608831499,847.206224878121,787.986102384313,896.10468188742,771.251681034447,893.379644007909,886.584476350865,762.657048317215,644.968812954541
"Pqbp1",1317.97934886065,1569.84961245909,1618.69064986428,1571.2037563427,1996.31129782729,1436.82705000408,1534.80407849706,1665.84082179049,1523.21021512183,1120.36836053136
"Timm17b",537.196203248484,478.326642857065,646.378842555976,660.430106990786,655.070016911194,532.089501098284,562.976841781844,618.715107605995,622.748927729368,421.904481713612
