"","B2101","B2102","B2103","B2104","B2105","B2111","B2112","B2113","B2114","B2115"
"Cops7b",649.851512771896,750.819043077196,574.255984399853,693.342843988066,631.675841619167,576.172817625067,637.862908008879,636.050312179949,520.463798938369,612.993774105746
"Nppc",84.3850023278098,109.898482320032,60.1493422395103,88.0278361126076,94.9981246185075,86.5924465794899,82.7548087650003,91.4200754509407,89.1280501353233,105.439064011444
"Dis3l2",668.990379279235,616.909127645224,779.671662614029,514.319941332089,719.2715149687,596.155689912642,569.055538923373,624.379664250042,839.564225348786,681.219050819033
"Alppl2",0,0,0,0,0,0,0,0,0,0
"Alpi",0,0,0,0,0,0,0,0,0,0
"Akp3",0,0.923516658151533,3.40467974940624,0,0,0.832619678648941,1.85965862393259,0.972553994158943,0,0
"Ecel1",3021.33106272663,3155.65642090379,3018.81604447353,2166.0782144563,2769.75051647467,2711.00967368095,2354.32781789866,2970.17989816141,2882.90730067342,2638.04403291377
"Prss56",99.1741264471167,85.8870492080925,138.456976475854,118.689217230482,215.904828678426,56.618138148128,96.7022484444947,88.5024134684639,73.7232019637859,71.3264256548001
"Chrnd",0,0,0,0,0,0,0,0,0,0
"Chrng",0,0,0,0,0,2.49785903594682,0,1.94510798831789,0,1.03371631383768
"Eif4e2",1354.50977963299,1354.7989375083,1494.65440998934,1483.61521538103,1489.12644694206,1294.7236002991,1322.21728161607,1241.95145054097,1440.35330403874,1313.85343488769
"Efhd1",916.925695397026,1054.65602360905,1172.34472704555,843.682519146677,1375.62219415111,1034.94626056063,901.00460329534,1148.58626710171,1299.50897789897,1040.95232803455
"Gigyf2",1270.99472578279,1111.91405641445,1301.72255752299,1266.01831712514,1021.5382751185,1390.47486334373,1283.16445051349,1182.62565689728,1298.40863160101,1312.81971857386
"Kcnj13",9.56943325366916,1.84703331630307,18.1582919968333,6.92353767177812,14.8049025379492,198.996103197097,126.456786427416,4.86276997079472,4.40138519186782,4.13486525535073
"3110079O15Rik",24.358557372976,32.3230830353036,27.2374379952499,24.7269202563504,27.1423213195736,15.8197738943299,27.8948793589889,19.4510798831789,62.7197389841164,46.5172341226957
"Ngef",15694.740484495,15386.7110414627,18917.5355809509,14593.828335298,20681.2151036369,12351.0803130784,14175.2478609262,14990.947265966,21161.8600025005,15704.2182398221
"A530079E22Rik",6.08963934324401,2.7705499744546,9.07914599841665,4.94538405127009,11.1036769034619,4.99571807189365,1.85965862393259,1.94510798831789,12.1038092776365,6.20229788302609
"Gm6153",4.34974238803143,2.7705499744546,5.6744662490104,11.8689217230482,0,0.832619678648941,3.71931724786518,0.972553994158943,2.20069259593391,6.20229788302609
"Neu2",172.249798566045,156.074315227609,108.949751981,160.230443261151,122.140445938081,109.073177903011,166.439446841967,149.773315100477,100.131513114993,144.720283937275
"Inpp5d",359.288721251396,318.613247062279,461.901552669447,388.707186429829,407.134819793603,375.511475070672,310.562990196743,328.723250025723,419.23193952541,366.969291412377
"Atg16l1",1421.49581240867,1456.38576990497,1079.28348056178,1343.16630832496,1042.51188704726,1348.84387941128,1351.97181959899,1337.26174196855,967.204395912953,1437.89939254822
"Scarna6",0.869948477606287,3.69406663260613,0,0.989076810254018,0,0.832619678648941,7.43863449573036,3.89021597663577,1.10034629796695,4.13486525535073
"Sag",55.6767025668024,37.8641829842128,29.5072244948541,40.5521492204147,24.6748375632487,26.6438297167661,24.1755621111237,31.1217278130862,25.30796485324,32.0452057289681
"Gm19582",6.08963934324401,3.69406663260613,2.26978649960416,0.989076810254018,4.93496751264974,3.33047871459576,4.64914655983148,1.94510798831789,0,7.23601419686378
"Dgkd",1766.86535801837,1574.59590214836,1538.91524673162,1788.25087293926,1395.36206420171,1604.45812075651,1650.44702874017,1527.8823248237,1517.37754489643,1695.2947546938
"Usp40",275.773667401193,212.408831374853,147.53612247427,275.952430060871,144.347799745005,293.082126884427,295.685721205282,259.671916440438,156.249174311308,246.024482693368
"Ugt1a10",0,0,0,0,0,0,0,0,0,0
"Ugt1a9",0,0,0,0,0,0,0,0,0,0
"Ugt1a7c",7.82953629845658,7.38813326521226,9.07914599841665,4.94538405127009,8.63619314713704,4.1630983932447,4.64914655983148,2.91766198247683,9.90311668170259,7.23601419686378
"Ugt1a6b",0,3.69406663260613,1.13489324980208,0,0,0.832619678648941,0,4.86276997079472,0,1.03371631383768
"Ugt1a6a",23.4886088953697,16.6232998467276,24.9676514956458,20.7706130153344,34.5447725885482,30.8069281100108,20.4562448632585,10.6980939357484,27.5086574491739,26.8766241597797
"Ugt1a5",0,0,0,0,0,0,0,0,0,0
"Ugt1a2",0,0,0,0.989076810254018,0,0,0,0,0,0
"Dnajb3",37.4077845370703,29.5525330608491,44.2608367422811,36.5958419793986,59.2196101517969,35.8026461819045,47.4212949102811,63.2160096203313,30.8096963430747,35.1463546704812
"Ugt1a1",0,0,0,0,0,0,0,0,0,0
"Heatr7b1",0,0,0,0,0,0,0,1.94510798831789,0,0
"Hjurp",50.4570117011646,35.0936330097582,55.609769240302,75.1698375793053,71.5570289334212,46.6267020043407,53.9301000940451,64.1885636144903,78.1245871556538,71.3264256548001
"6430706D22Rik",0,0,0,0,0,0,0,0,0,0
"Trpm8",2.60984543281886,2.7705499744546,2.26978649960416,7.91261448203214,2.46748375632487,7.49357710784047,5.57897587179777,7.78043195327155,2.20069259593391,5.16858156918841
"Spp2",0.869948477606287,0,7.94425274861456,0.989076810254018,2.46748375632487,4.1630983932447,0.929829311966295,2.91766198247683,1.10034629796695,1.03371631383768
"Glrp1",5.21969086563772,9.23516658151533,6.80935949881248,3.95630724101607,1.23374187816243,7.49357710784047,7.43863449573036,4.86276997079472,13.2041555756035,6.20229788302609
"Gm19589",0,0,0,0,0,0,0,0,1.10034629796695,0
"Arl4c",1451.94400912489,1401.89828707403,1903.21597991809,1473.72444727849,1763.01714389412,1524.52663160621,1446.81440941956,1461.74865322089,1746.24957487356,1483.38291035707
"2410088K16Rik",0,0,0,0,0,0,0,0,0,0
"1700067G17Rik",0,0,0,0,0,0,0,0,0,0
"Sh3bp4",484.561302026702,480.228662238797,545.883653154801,482.669483403961,588.494875883481,437.957950969343,461.195338735283,432.78652740073,611.792541669627,483.779234876035
"C030007H22Rik",6.08963934324401,2.7705499744546,7.94425274861456,2.96723043076205,4.93496751264974,1.66523935729788,1.85965862393259,6.8078779591126,4.40138519186782,1.03371631383768
"Agap1",5049.18096402689,4645.28879050221,6588.05531510108,5129.35233797734,5699.88747711045,5029.85547871825,4661.23434088704,4394.97149960426,7569.28218371468,5386.69571140816
"4933400F21Rik",0.869948477606287,0,0,0,1.23374187816243,0,0,0,0,1.03371631383768
"Gbx2",131.362220118549,116.363098927093,102.140392482187,90.0059897331156,98.6993502529948,187.339427696012,102.281224316293,106.008385363325,118.837400180431,111.64136189447
"Asb18",11.3093302088817,4.61758329075766,23.8327582458437,3.95630724101607,14.8049025379492,12.4892951797341,13.9474396794944,9.72553994158943,14.3045018735704,9.30344682453914
"Iqca",53.9368056115898,69.263749361365,47.6655164916874,38.5739955999067,43.1809657356852,55.7855184694791,73.4565156453373,50.5728076962651,63.8200852820834,56.8543972610725
"Cxcr7",247.065367640185,307.53104716446,216.764610712197,300.679350317221,191.229991115177,226.472552592512,236.176645239439,237.303174574782,268.484496703937,220.181574847426
"Cops8",2715.97914708683,2866.59570690236,3023.35561747274,2538.96017192206,3281.75339591208,2385.45537932922,2531.92521648422,2673.55092994294,3129.38487141802,2640.11146554144
"Gm9991",0,0,0,0,0,0,0,0,0,0
"Col6a3",223.576758744816,235.496747828641,139.591869725656,158.252289640643,148.049025379492,310.567140136055,224.088864183877,215.906986703285,158.449866907241,191.237518059971
"Mlph",69.5958782085029,114.51606561079,103.275285731989,85.0606056818455,83.8944477150456,113.236276296256,73.4565156453373,82.6670895035102,148.546750225539,108.540212952957
"Prlh",0,1.84703331630307,0,3.95630724101607,0,0,0,0,0,2.06743262767536
"Rab17",0,0,0,0,0,0.832619678648941,0,3.89021597663577,0,1.03371631383768
"Lrrfip1",1561.55751730328,1568.1312855413,1055.45072231594,1510.32028925788,975.889825626486,1532.02020871405,1476.56894740248,1606.65919835057,988.110975574325,1550.57447075652
"Rbm44",0,0,0,0,0,1.66523935729788,1.85965862393259,0,3.30103889390086,0
"Ramp1",2657.69259908721,2607.08752596178,2282.27032535198,2169.04544488706,2523.00214084218,2141.49781348508,2208.34461591995,2745.5199255107,2176.48497737864,2245.23183365545
"Ube2f",595.914707160306,598.438794482193,529.995147657572,619.162083219015,552.716361416771,579.503296339663,569.985368235339,585.477504483684,487.453409999361,496.183830642087
"Gm7785",8.69948477606287,8.3116499233638,4.53957299920832,7.91261448203214,7.40245126897461,8.32619678648941,11.1579517435955,3.89021597663577,1.10034629796695,11.3708794522145
"Scly",537.628159160685,529.175045120828,409.696463178551,420.357644357957,445.380818016639,537.872312407216,550.458952684047,542.68512874069,481.951678509526,532.363901626406
"Espnl",2.60984543281886,10.1586832396669,3.40467974940624,7.91261448203214,4.93496751264974,4.99571807189365,8.36846380769666,3.89021597663577,0,17.5731773352406
"Gm19636",0,0,0,0,0,0,0,0.972553994158943,0,0
"Klhl30",6.08963934324401,0,3.40467974940624,3.95630724101607,6.16870939081217,0,5.57897587179777,8.75298594743049,5.50173148983477,15.5057447075652
"Fam132b",5.21969086563772,22.1643997956368,13.618718997625,12.8579985333022,11.1036769034619,8.32619678648941,15.807098303427,24.3138498539736,2.20069259593391,16.5394610214029
"Ilkap",931.714819516333,978.004140982473,728.601466372936,892.147282849124,861.15183095738,869.254944509495,853.583308385059,964.773562205672,830.761454965051,888.996029900407
"1700020N18Rik",0,0,5.6744662490104,0.989076810254018,7.40245126897461,0.832619678648941,0,0,3.30103889390086,0
"Hes6",494.130735280371,505.163612008888,340.467974940624,434.204719701514,407.134819793603,425.468655789609,392.387969649777,553.383222676439,326.802850496185,483.779234876035
"Per2",704.658266861092,672.320127134316,331.388828942208,527.177939865391,299.799276393472,864.259226437601,584.8626372268,487.249551073631,358.712893137227,731.871150197079
"Traf3ip1",398.436402743679,405.423812928523,390.403277931916,475.745945732182,346.681467763644,470.430118436652,431.440800752361,393.884367634372,423.633324717277,434.160851811826
"Asb1",751.635484651832,680.63177705768,948.770756834539,873.354823454298,750.11506192276,815.134665397313,872.179894624385,704.129091771075,804.353143813844,714.297972861838
"Twist2",6.08963934324401,7.38813326521226,14.753612247427,14.8361521538103,18.5061281724365,9.15881646513835,7.43863449573036,17.505971894861,4.40138519186782,10.3371631383768
"Hdac4",78.2953629845658,64.6461660706073,173.638667219718,161.219520071405,118.439220303594,113.236276296256,112.509346747922,68.078779591126,117.737053882464,92.0007519315537
"Ndufa10",3339.73220553053,3467.80505135901,3032.43476347116,3051.30195963364,3305.19449159716,2953.30200016779,2997.76970177934,3407.82919553294,3032.55439719693,3356.47687103095
