"","A2011","A2012","A2013","A2014","A2015","A2001","A2003","A2002","A2004","A2005"
"Fez1",5398.90247208448,5374.38897623463,5224.04952496443,5161.36275647508,5417.54456554293,5295.59651737458,5111.96316950991,4838.3151750178,5246.33504448509,5589.18365475196
"Pknox2",1462.55682568361,1400.31693922312,1411.56893749252,1682.43894433649,1397.91243547707,1468.31450512854,1466.11179518573,1850.33220823103,1059.28140523008,1502.49079518121
"Tmem218",535.358115017821,613.100332847501,595.561201586892,530.470488046395,551.896505662954,534.831087507553,538.300904761148,612.378134535805,459.280935274982,591.143919415558
"Slc37a2",84.0332843678767,87.5857618353572,128.001213475392,93.1200659489726,90.4332712188913,60.401868199005,87.189583165538,105.582436988932,60.4317020098661,89.2873628283916
"Gm10177",198.280783339934,188.889775524445,150.223646370425,215.536332421217,201.995811414159,112.018010114518,162.058899144641,58.0703403439125,161.438975369214,233.994468101992
"Ccdc15",16.0513015084708,28.491753850056,23.1113302108346,18.8332717649608,12.6775613858259,28.5536104213478,8.5294157444548,13.1978046236165,14.6762704881103,9.2366237408681
"Hepacam",3186.65544653465,2946.25839812431,3357.36516178163,2574.92676742047,3017.25960982656,2779.58415293967,2747.41958257494,3292.85225359231,3088.92328273287,3094.26895319081
"Robo4",223.774026912211,183.613524811472,218.668739687128,184.147546146283,235.802641776362,196.580625593125,218.92167077434,246.798946461628,173.525315771187,239.125925735807
"Robo3",238.881134214301,449.536560745327,456.893220321885,413.285685953305,485.128015697604,356.920130266848,604.640804995796,89.7450714405921,165.755525512776,438.226481927853
"BC024479",236.048551595159,245.873283224557,210.668663844916,241.693654316996,262.002935307068,298.714693638716,283.366145287998,124.059363461995,251.2232183553,264.783213904886
"Esam",373.900905726732,369.337549908133,384.003640426175,373.526556671722,376.100987779501,367.902288121212,397.091688547396,323.346213278604,349.640561628511,372.543824215013
"Vsig2",207.72272540374,223.713030230069,243.557864529565,223.906675427867,236.647812535417,260.27714114844,275.784442404039,195.327508429524,136.402984536555,210.38976298644
"Nrgn",36359.9746935119,50581.3050849901,49232.4667329726,49019.8675255653,46886.6930293385,41877.1643302629,51910.0242207519,28917.7097108061,26774.6972304855,50821.9564053098
"Spa17",101.028780082728,113.967015400224,79.1118611063186,85.7960158181545,87.0525881826711,64.7947313407508,89.0850088865279,88.4252909782304,131.223124364281,109.813193363654
"Siae",276.648902469527,303.912041067264,352.892234373129,279.360197846918,298.345277946436,354.723698695975,397.091688547396,315.427530504434,278.849139274096,333.544746198015
"Tbrg1",1130.20046503762,1109.06789986699,1080.89913601442,1190.68129269585,1179.01320888181,1127.86761164324,996.993929240717,1371.25190039375,960.864061956871,1131.99955401972
"Panx3",0,0,0,0,0,0,0,0,0,0
"Olfr160",0,1.05525014259467,0,0,0,0,0,0,0,0
"Olfr151",0,0,0,0,0,0,0,0,0,0
"Olfr874",0,0,0,0,0,0,0,0,0,0
"Olfr875",0,0,1.77779463160266,0,0,0,0,0,0,0
"Olfr876",0,0,0,0,0,0,0,0,0,0
"Olfr877",0,0,0,0,0,0,0,0,0,0
"Olfr145",0,0,0,0,0,0,0,0,0,0
"Olfr878",0,0,3.55558926320533,0,0,0,0,0,0,0
"Olfr881",0,0,0,0,0,0,0,0,0,0
"Olfr883",0,0,0,0,0,0,0,0,0,0
"Olfr884",0,0,0,0,0,0,0,0,0,0
"Olfr885",0,0,0,0,0,0,0,0,0,0
"Olfr887",0,0,0,0,0,0,0,0,0,0
"Olfr888",0,0,0,0,0,0,0,0,0,0
"Olfr889",0,0,0,0,0,0,0,0,0,0
"Olfr890",0,0,0,0,0,0,0,0,0,0
"Olfr891",0,0,0,0,0,0,0,0,0,0
"Olfr893",0,0,0,0,0,0,0,0,0,0
"Olfr894",0,0,0,0,0,0,0,0,0,0
"Olfr143",0,0,0,0,0,0,0,0,0,0
"Olfr895",0,0,0,0,0,0,0,0,0,0
"Olfr25",0,0,0,0,0,0,0,0,0,0
"Olfr898",0,0,0,0,0,0,0,0,0,0
"Olfr250",0,0,0,0,0,0,0,0,0,0
"Olfr251",0,0,0,0,0,0,0,0,0,0
"Olfr147",0,0,0,0,0,0,0,0,0,0
"Olfr901",0,0,0,0,0,0,0,0,0,0
"Olfr902",0,0,0,0,0,0,0,0,0,0
"Olfr904",0,0,0,0,0,0,0,0,0,0
